window_id,source_in,source_out,coverage_status,summary,characters,dialogue_gist,visual_notes,confidence,human_review
F001-W001,00:00:00,00:00:32,ANALYZED,"片头标志与制作人员字幕","","无对白","黑底字幕，缺少叙事画面",high,approved
F001-W002,00:00:32,00:01:18,ANALYZED,"雨夜城市建立镜头；男主独自走向车站","林川","无对白","远景、雨水、霓虹灯；适合章节开场",high,approved
F001-W003,00:01:18,00:02:36,ANALYZED,"男主在候车室与陌生女子第一次见面","林川；苏遥","女子询问末班车是否已经离开","双人中景和面部特写较多",high,approved
F001-W004,00:02:36,00:03:08,REVIEW_REQUIRED,"女子把一把旧钥匙放在长椅上后离开","苏遥","没有明确说明钥匙用途","钥匙特写清晰；人物身份尚未确认",medium,pending
F001-W005,00:03:08,00:04:42,ANALYZED,"男主拿起钥匙追出车站，但女子已经消失","林川","男主呼喊女子但没有得到回应","奔跑镜头略晃；可选取中间稳定片段",high,approved
F001-W006,00:04:42,00:05:27,ANALYZED,"男主回到长椅检查钥匙上的编号","林川","男主低声读出编号307","钥匙和编号特写；适合解释关键线索",high,approved
F001-W007,00:05:27,00:06:55,ANALYZED,"场景切换到旅馆；男主寻找307号房","林川；旅馆前台","前台表示旅馆没有307号房","走廊纵深明显；对白信息重要",high,approved
F001-W008,00:06:55,00:07:26,NO_NARRATIVE_VALUE,"男主在走廊缓慢行走","林川","无对白","与前后镜头重复，画面信息较少",high,approved
F001-W009,00:07:26,00:08:48,ANALYZED,"男主发现墙纸后隐藏着一道旧门","林川","无对白","揭开墙纸和门牌的动作完整；悬念镜头",high,approved
F001-W010,00:08:48,00:09:31,REVIEW_REQUIRED,"门后传来女子声音，但没有出现人物","林川；未知女声","声音提醒男主不要开门","说话者可能是苏遥，需要结合后文确认",medium,pending
F001-W011,00:09:31,00:10:00,ANALYZED,"画面进入下一场景并结束当前测试范围","林川","无完整对白","转场镜头；本次分析覆盖到原片十分钟",high,approved
